text,tidy_text,polarity_score_vader,polarity_score_textblob,label_vader,label_textblob,coordinates
"Regram from @kahseong of this mornings special:
Poached eggs served on house made beans and prosciutto… http://t.co/2ll10ocyAt",Regram from of this mornings special: Poached eggs served on house made beans and prosciutto…,"(0.0, 0.162)",0.35714285714285715,positive,positive,"[Decimal('144.95916008'), Decimal('-37.80278685')]"
Listening to @GreenTravelGuy  talk to a packed house on responsible business. #inthemoment,Listening to talk to a packed house on responsible business. #inthemoment,"(0.0, 0.187)",0.2,positive,positive,"[Decimal('144.96186057'), Decimal('-37.81267071')]"
#oxley under construction.... beginning to take shape @elenberg_fraser #iconco @ oxley apartments http://t.co/RCGgZfl25i,#oxley under construction.... beginning to take shape #iconco oxley apartments,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.98644128'), Decimal('-37.80234956')]"
when i move into my new house im gonna marathon the mad max trilogy with so many snacks around me. you are all welcome to join me.,when i move into my new house im gonna marathon the mad max trilogy with so many snacks around me. you are all welcome to join me.,"(0.099, 0.16)",0.2028409090909091,positive,positive,"[Decimal('144.9854037'), Decimal('-37.8633316')]"
Someone come play uno at my school or at least look after me while I fall asleep please,Someone come play uno at my school or at least look after me while I fall asleep please,"(0.0, 0.227)",-0.3,positive,negative,"[Decimal('144.89813344'), Decimal('-37.80445226')]"
@cathouseclothes do you have the wrist gloves in metallic purple? I'm looking for some to go with the new dress.,do you have the wrist gloves in metallic purple? I'm looking for some to go with the new dress.,"(0.0, 0.0)",0.13636363636363635,neutral,positive,"[Decimal('145.27529421'), Decimal('-37.8522744')]"
Please let me get the thursday tut slot.... TnT,Please let me get the thursday tut slot.... TnT,"(0.0, 0.223)",0.0,positive,neutral,"[Decimal('144.960184'), Decimal('-37.8028955')]"
@PalaisTheatre a priceless piece of cultural infrastructure needing pricey works to secure it's future. It must be funded! Maybe opera too?,a priceless piece of cultural infrastructure needing pricey works to secure it's future. It must be funded! Maybe opera too?,"(0.0, 0.124)",0.375,positive,positive,"[Decimal('145.03353934'), Decimal('-37.83294312')]"
We are on the hunt for a passionate barista and a front of house staff. It would be great if you are a… http://t.co/MGNLl1f279,We are on the hunt for a passionate barista and a front of house staff. It would be great if you are a…,"(0.0, 0.263)",0.375,positive,positive,"[Decimal('144.95211829'), Decimal('-37.80903799')]"
Leaving the house today was an incredible mistake. I had to try but never again.,Leaving the house today was an incredible mistake. I had to try but never again.,"(0.117, 0.0)",0.9,negative,positive,"[Decimal('144.972834'), Decimal('-37.8062752')]"
@b3nTurner but at what cost ( im about to find out ),but at what cost ( im about to find out ),"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.9891534'), Decimal('-37.793819')]"
@TrevorDills like your house? The one you live at?,like your house? The one you live at?,"(0.0, 0.29)",0.13636363636363635,positive,positive,"[Decimal('144.96571405'), Decimal('-37.82002314')]"
@Telstra please activate my service. You can't go back on a contract.,please activate my service. You can't go back on a contract.,"(0.0, 0.187)",0.0,positive,neutral,"[Decimal('144.6213809'), Decimal('-37.8899259')]"
Love that and you guys! @sj_lofthouse @WordsByPeta @iabcvic,Love that and you guys!,"(0.0, 0.529)",0.625,positive,positive,"[Decimal('144.95805064'), Decimal('-37.77680816')]"
Please support my neice Nikki as she strives to 'pay it forward' &amp; help people.... https://t.co/ESc6X6jl6B,Please support my neice Nikki as she strives to 'pay it forward' &amp; help people....,"(0.07, 0.383)",0.0,positive,neutral,"[Decimal('144.96038409'), Decimal('-37.82338893')]"
Go Pilko &amp; Starlight foundation Encosta Jewel,Go Pilko &amp; Starlight foundation Encosta Jewel,"(0.0, 0.294)",0.0,positive,neutral,"[Decimal('144.96260037'), Decimal('-37.83742913')]"
Thanks. I love that installation. Very clever. Must go for another visit. @sj_lofthouse @monamuseum,Thanks. I love that installation. Very clever. Must go for another visit.,"(0.0, 0.536)",0.3055555555555555,positive,positive,"[Decimal('144.95738556'), Decimal('-37.7609697')]"
Someone please tell me how to delete a snapchat story.. I've made an accidental one again and @AlixSanderson is mean and won't tell me,Someone please tell me how to delete a snapchat story.. I've made an accidental one again and is mean and won't tell me,"(0.053, 0.093)",-0.3125,positive,negative,"[Decimal('145.14096441'), Decimal('-37.90718117')]"
@paddypower @woodhousecurtis  surely that's not good for you??? He looks very VAIN!!!!! Haha comedy club! I'm here all week people 👍,surely that's not good for you??? He looks very VAIN!!!!! Haha comedy club! I'm here all week people 👍,"(0.195, 0.334)",0.252587890625,positive,positive,"[Decimal('144.98219613'), Decimal('-37.85083701')]"
It's a good/bad thing that there's a San Churros cafe opposite my apartment.  #SpanishHotChocolate,It's a good/bad thing that there's a San Churros cafe opposite my apartment. #SpanishHotChocolate,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('144.9646629'), Decimal('-37.8101548')]"
"I can't wait to release the photo of me and my inspiration side by side.
I will be known as 'that big girl in the piano key dress'. #ttrttpt",I can't wait to release the photo of me and my inspiration side by side. I will be known as 'that big girl in the piano key dress'. #ttrttpt,"(0.0, 0.108)",0.0,positive,neutral,"[Decimal('144.9961241'), Decimal('-37.7788782')]"
Weird what's wrong with your iMessage? Trying to holla back but it ain't letting me. Only got your call too ! No messages @RichieHardcore,Weird what's wrong with your iMessage? Trying to holla back but it ain't letting me. Only got your call too ! No messages,"(0.245, 0.0)",-0.25,negative,negative,"[Decimal('144.9615276'), Decimal('-37.77073061')]"
"If you're on Facebook please jump in my new athlete page and give it a like look up: Ivo Dos Santos - Judo Olympian, Coach, Fighter","If you're on Facebook please jump in my new athlete page and give it a like look up: Ivo Dos Santos - Judo Olympian, Coach, Fighter","(0.0, 0.218)",0.13636363636363635,positive,positive,"[Decimal('144.75535762'), Decimal('-37.58344659')]"
MOC price for short Aussie 200 Index CFD trade badis SPI was 5538 earlier.,MOC price for short Aussie 200 Index CFD trade badis SPI was 5538 earlier.,"(0.0, 0.0)",0.0,neutral,neutral,"[Decimal('145.0607997'), Decimal('-37.7559037')]"
@ChantelleSteve please tell me you guys are gonna be special guests on this seasons @TheBlock9 ?!?! 👍,please tell me you guys are gonna be special guests on this seasons ?!?! 👍,"(0.0, 0.298)",0.5580357142857143,positive,positive,"[Decimal('145.25433283'), Decimal('-38.14523696')]"
"On a school night...
2014 Qantas Epicure James Halliday wine companion awards. @ Powerhouse - Albert Park http://t.co/WWX0mDmrqr",On a school night... 2014 Qantas Epicure James Halliday wine companion awards. Powerhouse - Albert Park,"(0.0, 0.167)",0.0,positive,neutral,"[Decimal('144.97706884'), Decimal('-37.85023321')]"
"@erkpod please, they're called #Lumbus and for that role it is required that you have an appreciation for @LAKings #SocialBromance","please, they're called #Lumbus and for that role it is required that you have an appreciation for #SocialBromance","(0.0, 0.259)",0.0,positive,neutral,"[Decimal('145.17460516'), Decimal('-37.95065321')]"
"Hope I wake up to a 5sos follow

Luke@Luke5SOS 

Calum@Calum5SOS 

Michael@Michael5SOS 

Ashton@Ashton5SOS 

Please I'm begging🙏 love ya x",Hope I wake up to a 5sos follow Luke Calum Michael Ashton Please I'm begging🙏 love ya x,"(0.0, 0.356)",0.5,positive,positive,"[Decimal('145.08198223'), Decimal('-37.99552383')]"
@BillyWinfield18 aww please don't tell on me 😰 no one found us so it's all good 😏,aww please don't tell on me 😰 no one found us so it's all good 😏,"(0.164, 0.213)",0.5,positive,positive,"[Decimal('144.96684757'), Decimal('-37.8150056')]"
Pitch invasion please #FFACup - only thing missing tonight,Pitch invasion please #FFACup - only thing missing tonight,"(0.191, 0.2)",-0.1,positive,negative,"[Decimal('144.75540851'), Decimal('-37.72138503')]"
@MBWhitty baseball is done shoulders leaving me quickly. Going to try the flat bat option again and the golf fad.,baseball is done shoulders leaving me quickly. Going to try the flat bat option again and the golf fad.,"(0.0, 0.095)",0.15416666666666665,positive,positive,"[Decimal('145.1284142'), Decimal('-38.1258657')]"
@shakeitupaust in less than a week @lucy_blondie and myself have raised over $380 please keep supporting us http://t.co/tVsjVHwnRJ?,in less than a week and myself have raised over $380 please keep supporting us ?,"(0.0, 0.271)",0.04166666666666667,positive,positive,"[Decimal('144.97339804'), Decimal('-37.81441239')]"
"Night session of Pilates on this windy mild so called winter night ""yes please"" 
Was so mentally… http://t.co/oZ63wXZRa6","Night session of Pilates on this windy mild so called winter night ""yes please"" Was so mentally…","(0.0, 0.25)",0.3333333333333333,positive,positive,"[Decimal('145.11814043'), Decimal('-37.64969893')]"
@_lewistam_ I'm sick I can't read please excuse me,I'm sick I can't read please excuse me,"(0.565, 0.0)",-0.3821428571428572,negative,negative,"[Decimal('145.2084487'), Decimal('-37.8131841')]"
#shareacokewithcam omg please go watch @camerondallas new video I love it #shareacokewithcam,#shareacokewithcam omg please go watch new video I love it #shareacokewithcam,"(0.0, 0.419)",0.3181818181818182,positive,positive,"[Decimal('144.8224136'), Decimal('-37.8556543')]"
Please everyone it would be really appreciated if you can make dua for me that I ace my #UMAT #Test ... #Melbourne,Please everyone it would be really appreciated if you can make dua for me that I ace my #UMAT #Test ... #Melbourne,"(0.0, 0.228)",0.2,positive,positive,"[Decimal('144.68193979'), Decimal('-37.73837163')]"
